,Age,Unnamed: 1,Primary streaming service,Hours per day,While working,Fav genre,Foreign languages,Frequency [Classical],Frequency [Country],Frequency [EDM],Frequency [Folk],Frequency [Gospel],Frequency [Hip hop],Frequency [Jazz],Frequency [K pop],Frequency [Latin],Frequency [Lofi],Frequency [Metal],Frequency [Pop],Frequency [R&B],Frequency [Rap],Frequency [Rock],Frequency [Video game music],Anxiety,Depression,Insomnia,OCD,Music effects
53,16,Children,Spotify,4,Yes,Rock,Yes,Rarely,Never,Rarely,Sometimes,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Very frequently,Sometimes,Rarely,Very frequently,Rarely,1,0,0,0,Improve
54,16,Children,Apple Music,2,Yes,Classical,No,Very frequently,Never,Never,Never,Never,Rarely,Sometimes,Never,Never,Never,Never,Rarely,Rarely,Rarely,Sometimes,Rarely,1,0,0,0,Improve
55,16,Children,Spotify,6,Yes,Rock,No,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Sometimes,Very frequently,Never,1,0,0,0,No effect
56,16,Children,Spotify,7,Yes,Folk,Yes,Rarely,Very frequently,Never,Very frequently,Very frequently,Sometimes,Rarely,Never,Rarely,Never,Sometimes,Sometimes,Rarely,Rarely,Rarely,Sometimes,1,0,0,0,Improve
57,16,Children,I do not use a streaming service.,1,Yes,Video game music,No,Sometimes,Sometimes,Sometimes,Rarely,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,Sometimes,Very frequently,Rarely,Sometimes,Very frequently,1,0,0,0,Improve
58,16,Children,YouTube Music,1,No,K pop,Yes,Never,Never,Never,Never,Never,Never,Sometimes,Very frequently,Never,Never,Never,Never,Never,Never,Never,Rarely,1,0,0,0,Improve
59,16,Children,Pandora,1,No,Rock,No,Rarely,Never,Sometimes,Rarely,Never,Never,Very frequently,Never,Never,Never,Never,Sometimes,Rarely,Never,Very frequently,Rarely,1,0,0,0,Improve
60,16,Children,Other streaming service,2,Yes,Rock,No,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Sometimes,Sometimes,Never,Never,Very frequently,Sometimes,1,0,0,0,Improve
61,16,Children,Spotify,2,No,Metal,Yes,Rarely,Rarely,Rarely,Sometimes,Never,Rarely,Never,Rarely,Never,Rarely,Very frequently,Sometimes,Never,Rarely,Very frequently,Very frequently,1,0,0,0,No effect
62,16,Children,Spotify,5,Yes,Rock,Yes,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Rarely,Never,Never,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,Never,1,0,0,0,Worsen
63,16,Children,Spotify,6,Yes,Metal,Yes,Very frequently,Never,Rarely,Very frequently,Never,Never,Never,Sometimes,Never,Rarely,Very frequently,Rarely,Never,Never,Sometimes,Very frequently,1,0,0,0,Improve
64,16,Children,Spotify,3,No,Rock,Yes,Sometimes,Sometimes,Never,Rarely,Never,Never,Rarely,Never,Rarely,Never,Very frequently,Very frequently,Never,Never,Very frequently,Never,2,0,0,0,No effect
65,16,Children,Spotify,4,No,Hip hop,No,Rarely,Sometimes,Rarely,Never,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,2,0,0,0,Improve
66,16,Children,Apple Music,3,Yes,Metal,Yes,Sometimes,Never,Sometimes,Never,Never,Rarely,Rarely,Never,Never,Sometimes,Sometimes,Sometimes,Never,Rarely,Rarely,Never,2,0,0,0,Improve
67,16,Children,I do not use a streaming service.,2,Yes,Rock,No,Sometimes,Rarely,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Never,Never,Never,Very frequently,Sometimes,Rarely,Rarely,Very frequently,Sometimes,2,0,0,0,Improve
68,16,Children,YouTube Music,3,Yes,Rock,No,Rarely,Sometimes,Sometimes,Rarely,Never,Sometimes,Rarely,Never,Sometimes,Sometimes,Sometimes,Sometimes,Very frequently,Very frequently,Very frequently,Rarely,2,0,0,0,Improve
69,16,Children,Spotify,2,Yes,Rock,Yes,Never,Sometimes,Never,Rarely,Sometimes,Never,Sometimes,Rarely,Never,Never,Sometimes,Very frequently,Never,Never,Very frequently,Never,2,0,0,0,No effect
70,16,Children,Spotify,4,Yes,Rock,Yes,Sometimes,Rarely,Rarely,Sometimes,Never,Rarely,Rarely,Rarely,Rarely,Sometimes,Sometimes,Very frequently,Rarely,Rarely,Very frequently,Very frequently,2,0,0,0,Improve
71,16,Children,Spotify,2,Yes,Hip hop,Yes,Rarely,Rarely,Very frequently,Rarely,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Very frequently,Rarely,2,0,0,0,Improve
72,16,Children,Apple Music,0.5,No,Hip hop,No,Sometimes,Never,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Never,Never,Sometimes,Sometimes,Very frequently,Never,Never,2,0,0,0,No effect
73,16,Children,Spotify,5,Yes,Jazz,Yes,Sometimes,Rarely,Never,Never,Rarely,Rarely,Very frequently,Very frequently,Rarely,Never,Never,Very frequently,Rarely,Very frequently,Sometimes,Never,2,0,0,0,Improve
74,16,Children,Spotify,5,Yes,Metal,Yes,Never,Sometimes,Rarely,Rarely,Never,Never,Never,Never,Never,Never,Very frequently,Rarely,Never,Never,Very frequently,Sometimes,2,0,0,0,Improve
75,16,Children,Spotify,10,Yes,R&B,Yes,Never,Rarely,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Rarely,Very frequently,Rarely,Never,Never,2,0,0,0,Improve
76,16,Children,YouTube Music,2,No,EDM,Yes,Sometimes,Rarely,Very frequently,Never,Rarely,Rarely,Rarely,Never,Never,Sometimes,Never,Very frequently,Rarely,Sometimes,Rarely,Very frequently,2,0,0,0,Improve
77,16,Children,YouTube Music,4,Yes,Hip hop,Yes,Never,Never,Rarely,Never,Never,Very frequently,Sometimes,Sometimes,Rarely,Sometimes,Never,Very frequently,Very frequently,Very frequently,Sometimes,Rarely,2,0,0,0,Improve
78,16,Children,Spotify,5,No,Rock,Yes,Rarely,Never,Never,Rarely,Never,Sometimes,Very frequently,Never,Very frequently,Rarely,Sometimes,Rarely,Sometimes,Rarely,Very frequently,Rarely,2,0,0,0,Improve
79,16,Children,Spotify,3,Yes,Jazz,No,Rarely,Never,Rarely,Never,Never,Very frequently,Very frequently,Rarely,Sometimes,Very frequently,Never,Sometimes,Sometimes,Sometimes,Rarely,Very frequently,2,0,0,0,Improve
80,16,Children,Spotify,2,Yes,K pop,Yes,Never,Never,Very frequently,Never,Never,Sometimes,Never,Very frequently,Never,Never,Never,Sometimes,Never,Sometimes,Very frequently,Rarely,2,0,0,0,No effect
81,16,Children,Spotify,2.5,Yes,Rock,Yes,Rarely,Sometimes,Never,Very frequently,Never,Rarely,Sometimes,Never,Sometimes,Sometimes,Rarely,Very frequently,Rarely,Never,Very frequently,Rarely,2,0,0,0,Improve
82,16,Children,Spotify,3,Yes,R&B,Yes,Rarely,Never,Sometimes,Never,Never,Very frequently,Rarely,Very frequently,Rarely,Rarely,Rarely,Very frequently,Very frequently,Very frequently,Rarely,Very frequently,2,0,0,0,Improve
83,16,Children,Spotify,1,Yes,Rock,No,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,2,1,0,0,No effect
84,16,Children,Spotify,7,Yes,Jazz,No,Rarely,Never,Very frequently,Never,Never,Never,Very frequently,Never,Sometimes,Never,Never,Sometimes,Never,Never,Very frequently,Very frequently,2,1,0,0,Improve
85,16,Children,I do not use a streaming service.,1,No,Metal,Yes,Rarely,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Rarely,Never,Very frequently,Sometimes,Rarely,Sometimes,Sometimes,Sometimes,2,1,0,0,Improve
86,16,Children,Spotify,1,No,R&B,No,Rarely,Sometimes,Never,Sometimes,Never,Very frequently,Very frequently,Never,Never,Never,Very frequently,Very frequently,Very frequently,Very frequently,Very frequently,Never,2,1,0,0,No effect
87,16,Children,Spotify,3,Yes,Hip hop,No,Never,Never,Rarely,Never,Never,Very frequently,Never,Never,Sometimes,Rarely,Never,Sometimes,Very frequently,Very frequently,Rarely,Never,2,1,0,0,No effect
88,16,Children,Spotify,5,Yes,Metal,No,Sometimes,Rarely,Never,Sometimes,Never,Rarely,Never,Never,Never,Never,Very frequently,Sometimes,Never,Never,Very frequently,Never,2,1,0,0,No effect
89,16,Children,I do not use a streaming service.,6,Yes,Video game music,Yes,Sometimes,Rarely,Very frequently,Rarely,Rarely,Rarely,Rarely,Sometimes,Rarely,Very frequently,Rarely,Sometimes,Rarely,Never,Sometimes,Very frequently,2,1,0,0,No effect
90,16,Children,Spotify,4,Yes,Classical,Yes,Very frequently,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Sometimes,Very frequently,Rarely,Never,Very frequently,Rarely,2,1,0,0,Improve
91,16,Children,YouTube Music,1,Yes,Rock,No,Sometimes,Rarely,Never,Never,Never,Never,Never,Never,Never,Never,Rarely,Sometimes,Rarely,Rarely,Very frequently,Never,2,1,0,0,Improve
92,17,Young Adult,YouTube Music,4,Yes,Video game music,No,Rarely,Never,Rarely,Never,Never,Rarely,Sometimes,Never,Never,Sometimes,Never,Sometimes,Never,Never,Rarely,Very frequently,2,1,0,0,Improve
93,17,Young Adult,Spotify,10,Yes,Metal,Yes,Rarely,Very frequently,Never,Very frequently,Never,Never,Rarely,Never,Never,Never,Very frequently,Rarely,Never,Rarely,Sometimes,Sometimes,2,1,0,0,Improve
94,17,Young Adult,Spotify,3,No,EDM,Yes,Rarely,Sometimes,Very frequently,Never,Never,Sometimes,Never,Rarely,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Rarely,2,1,0,0,Improve
95,17,Young Adult,Spotify,2,No,Rock,No,Rarely,Rarely,Never,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Sometimes,Sometimes,Never,Rarely,Very frequently,Never,2,1,0,0,Improve
